,Experiment_ID,Algorithm,N,R,range_flag,type,seed,kproj,w,M,probes,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
142,143,hypercube,1,2000.0,false,protein,1,4,8.0,10000,16,1.13824,0.0833333,545.924,0.00183176,0.00497249
143,144,hypercube,1,2000.0,false,protein,1,4,8.0,10000,18,1.13824,0.0833333,541.626,0.00184629,0.00502256
144,145,hypercube,1,2000.0,false,protein,1,4,10.0,10,2,2.30715,0.0,280374.0,3.56667,0.00491699
145,146,hypercube,1,2000.0,false,protein,1,4,10.0,10,4,2.30715,0.0,275862.0,3.625,0.00496137
146,147,hypercube,1,2000.0,false,protein,1,4,10.0,10,6,2.30715,0.0,263736.0,3.79167,0.00506455
147,148,hypercube,1,2000.0,false,protein,1,4,10.0,10,8,2.30715,0.0,236220.0,4.23333,0.00492095
148,149,hypercube,1,2000.0,false,protein,1,4,10.0,10,10,2.30715,0.0,248447.0,4.025,0.00494766
149,150,hypercube,1,2000.0,false,protein,1,4,10.0,10,12,2.30715,0.0,178306.0,5.60833,0.00494398
150,151,hypercube,1,2000.0,false,protein,1,4,10.0,10,14,2.30715,0.0,245399.0,4.075,0.00490279
151,152,hypercube,1,2000.0,false,protein,1,4,10.0,10,16,2.30715,0.0,235294.0,4.25,0.00504026
152,153,hypercube,1,2000.0,false,protein,1,4,10.0,10,18,2.30715,0.0,229446.0,4.35833,0.00493548
153,154,hypercube,1,2000.0,false,protein,1,4,10.0,100,2,1.93836,0.0,56497.2,1.77,0.00501767
154,155,hypercube,1,2000.0,false,protein,1,4,10.0,100,4,1.93836,0.0,59553.3,1.67917,0.00490952
155,156,hypercube,1,2000.0,false,protein,1,4,10.0,100,6,1.93836,0.0,51304.0,1.94917,0.00495661
156,157,hypercube,1,2000.0,false,protein,1,4,10.0,100,8,1.93836,0.0,50209.2,1.99167,0.00547472
157,158,hypercube,1,2000.0,false,protein,1,4,10.0,100,10,1.93836,0.0,58622.4,1.70583,0.00496809
158,159,hypercube,1,2000.0,false,protein,1,4,10.0,100,12,1.93836,0.0,59347.2,1.685,0.0048312
159,160,hypercube,1,2000.0,false,protein,1,4,10.0,100,14,1.93836,0.0,57915.1,1.72667,0.00484718
160,161,hypercube,1,2000.0,false,protein,1,4,10.0,100,16,1.93836,0.0,55504.2,1.80167,0.00493163
161,162,hypercube,1,2000.0,false,protein,1,4,10.0,100,18,1.93836,0.0,57142.9,1.75,0.00494273
162,163,hypercube,1,2000.0,false,protein,1,4,10.0,1000,2,1.73452,0.0,5294.04,0.000188892,0.00490904
163,164,hypercube,1,2000.0,false,protein,1,4,10.0,1000,4,1.73452,0.0,6385.36,0.000156608,0.00496455
164,165,hypercube,1,2000.0,false,protein,1,4,10.0,1000,6,1.73452,0.0,6353.91,0.000157383,0.0049603
165,166,hypercube,1,2000.0,false,protein,1,4,10.0,1000,8,1.73452,0.0,5930.9,0.000168608,0.00497216
166,167,hypercube,1,2000.0,false,protein,1,4,10.0,1000,10,1.73452,0.0,5881.2,0.000170033,0.00505647
167,168,hypercube,1,2000.0,false,protein,1,4,10.0,1000,12,1.73452,0.0,6212.14,0.000160975,0.00502469
168,169,hypercube,1,2000.0,false,protein,1,4,10.0,1000,14,1.73452,0.0,5955.93,0.0001679,0.00494951
169,170,hypercube,1,2000.0,false,protein,1,4,10.0,1000,16,1.73452,0.0,6235.71,0.000160367,0.00498162
170,171,hypercube,1,2000.0,false,protein,1,4,10.0,1000,18,1.73452,0.0,6103.76,0.000163833,0.00507418
171,172,hypercube,1,2000.0,false,protein,1,4,10.0,10000,2,1.12508,0.0833333,554.29,0.00180411,0.00503307
172,173,hypercube,1,2000.0,false,protein,1,4,10.0,10000,4,1.12508,0.0833333,553.179,0.00180773,0.0051113
173,174,hypercube,1,2000.0,false,protein,1,4,10.0,10000,6,1.12508,0.0833333,565.161,0.00176941,0.00513351
174,175,hypercube,1,2000.0,false,protein,1,4,10.0,10000,8,1.12508,0.0833333,554.288,0.00180412,0.00508762
175,176,hypercube,1,2000.0,false,protein,1,4,10.0,10000,10,1.12508,0.0833333,560.133,0.00178529,0.00497652
176,177,hypercube,1,2000.0,false,protein,1,4,10.0,10000,12,1.12508,0.0833333,572.598,0.00174642,0.00494407
177,178,hypercube,1,2000.0,false,protein,1,4,10.0,10000,14,1.12508,0.0833333,571.889,0.00174859,0.00496701
178,179,hypercube,1,2000.0,false,protein,1,4,10.0,10000,16,1.12508,0.0833333,560.112,0.00178536,0.00493458
179,180,hypercube,1,2000.0,false,protein,1,4,10.0,10000,18,1.12508,0.0833333,567.921,0.00176081,0.00498667
180,181,hypercube,1,2000.0,false,protein,1,4,12.0,10,2,2.30715,0.0,287081.0,3.48333,0.0050313
181,182,hypercube,1,2000.0,false,protein,1,4,12.0,10,4,2.30715,0.0,233463.0,4.28333,0.00544327
182,183,hypercube,1,2000.0,false,protein,1,4,12.0,10,6,2.30715,0.0,282353.0,3.54167,0.00496422
183,184,hypercube,1,2000.0,false,protein,1,4,12.0,10,8,2.30715,0.0,247934.0,4.03333,0.0049312
184,185,hypercube,1,2000.0,false,protein,1,4,12.0,10,10,2.30715,0.0,171920.0,5.81667,0.00503969
185,186,hypercube,1,2000.0,false,protein,1,4,12.0,10,12,2.30715,0.0,240000.0,4.16667,0.00494758
186,187,hypercube,1,2000.0,false,protein,1,4,12.0,10,14,2.30715,0.0,242915.0,4.11667,0.00501027
187,188,hypercube,1,2000.0,false,protein,1,4,12.0,10,16,2.30715,0.0,238095.0,4.2,0.00504974
188,189,hypercube,1,2000.0,false,protein,1,4,12.0,10,18,2.30715,0.0,220994.0,4.525,0.00509677
189,190,hypercube,1,2000.0,false,protein,1,4,12.0,100,2,2.0239,0.0,57443.8,1.74083,0.00503616
190,191,hypercube,1,2000.0,false,protein,1,4,12.0,100,4,2.0239,0.0,60030.0,1.66583,0.00494938
191,192,hypercube,1,2000.0,false,protein,1,4,12.0,100,6,2.0239,0.0,57859.2,1.72833,0.00496907
192,193,hypercube,1,2000.0,false,protein,1,4,12.0,100,8,2.0239,0.0,59026.1,1.69417,0.00492858
193,194,hypercube,1,2000.0,false,protein,1,4,12.0,100,10,2.0239,0.0,56364.5,1.77417,0.00496532
